edge_id,source,target
edge0,ssralg,nmodule
edge1,all_boot,nmodule
edge2,all_character,inertia
edge3,extraspecial,extremal
edge4,prime,bigop
edge5,monoid,bigop
edge6,ssrAC,bigop
edge7,finset,bigop
edge8,algebraics_fundamentals,closed_field
edge9,sesquilinear,num_theory/ssrnum
edge10,ssrint,num_theory/ssrnum
edge11,interval,num_theory/ssrnum
edge12,center,cyclic
edge13,finmodule,cyclic
edge14,separable,cyclic
edge15,pgroup,cyclic
edge16,fintype,choice
edge17,closed_field,ring_quotient
edge18,all_algebra,ring_quotient
edge19,vcharacter,integral_char
edge20,sesquilinear,vector
edge21,falgebra,vector
edge22,qpoly,vector
edge23,rat,vector
edge24,rat,archimedean
edge25,all,all_character
edge26,spectral,sesquilinear
edge27,zmodp,finalg
edge28,intdiv,polydiv
edge29,mxpoly,polydiv
edge30,fraction,polydiv
edge31,preorder,prime
edge32,fingroup,prime
edge33,binomial,prime
edge34,all_boot,fingraph
edge35,inertia,character
edge36,integral_char,character
edge37,inertia,frobenius
edge38,vcharacter,frobenius
edge39,all_solvable,frobenius
edge40,fintype,path
edge41,rat,intdiv
edge42,finalg,action
edge43,gproduct,action
edge44,cyclic,zmodp
edge45,matrix,zmodp
edge46,automorphism,perm
edge47,all,all_order
edge48,ring_quotient,ssralg
edge49,countalg,ssralg
edge50,closed_field,mxpoly
edge51,mxred,mxpoly
edge52,polyXY,mxpoly
edge53,qpoly,mxpoly
edge54,mxrepresentation,mxpoly
edge55,fieldext,mxpoly
edge56,ssrbool,ssrfun
edge57,cyclic,gproduct
edge58,all_fingroup,gproduct
edge59,gfunctor,gproduct
edge60,order,preorder
edge61,quotient,automorphism
edge62,all_solvable,jordanholder
edge63,fieldext,falgebra
edge64,mxrepresentation,center
edge65,gseries,center
edge66,all,all_fingroup
edge67,seq,ssrnat
edge68,alt,primitive_action
edge69,burnside_app,primitive_action
edge70,fintype,div
edge71,frobenius,hall
edge72,maximal,finmodule
edge73,num_theory/ssrnum,num_theory/numfield
edge74,ssrnat,eqtype
edge75,all_solvable,extraspecial
edge76,fingraph,fintype
edge77,generic_quotient,fintype
edge78,tuple,fintype
edge79,all_solvable,alt
edge80,center,gfunctor
edge81,commutator,gfunctor
edge82,pgroup,gfunctor
edge83,spectral,mxred
edge84,separable,polyXY
edge85,all_algebra,polyXY
edge86,nmodule,monoid
edge87,fingroup,monoid
edge88,ring_quotient,generic_quotient
edge89,all_boot,generic_quotient
edge90,fraction,generic_quotient
edge91,fieldext,generic_quotient
edge92,extremal,presentation
edge93,all_fingroup,presentation
edge94,character,abelian
edge95,finfield,abelian
edge96,maximal,abelian
edge97,all_algebra,interval_inference
edge98,all_character,vcharacter
edge99,cyclotomic,algC
edge100,qfpoly,finfield
edge101,all_field,qfpoly
edge102,finmodule,commutator
edge103,mxrepresentation,commutator
edge104,gseries,commutator
edge105,archimedean,ssrint
edge106,intdiv,ssrint
edge107,interval_inference,ssrint
edge108,algC,algebraics_fundamentals
edge109,vector,mxalgebra
edge110,mxpoly,mxalgebra
edge111,num_theory/orderedzmod,ssrAC
edge112,all_boot,ssrAC
edge113,fraction,ssrAC
edge114,burnside_app,ssrAC
edge115,num_theory/numfield,num_theory/numdomain
edge116,galois,separable
edge117,algebraics_fundamentals,galois
edge118,qfpoly,qpoly
edge119,all_algebra,qpoly
edge120,preorder,finset
edge121,fingroup,finset
edge122,binomial,finset
edge123,bigop,finfun
edge124,eqtype,ssrbool
edge125,finalg,countalg
edge126,poly,countalg
edge127,all_order,order
edge128,num_theory/orderedzmod,order
edge129,matrix,order
edge130,all_ssreflect,order
edge131,num_theory/orderedzmod,fingroup
edge132,morphism,fingroup
edge133,extremal,maximal
edge134,hall,maximal
edge135,alt,maximal
edge136,mxabelem,maximal
edge137,num_theory/numdomain,num_theory/orderedzmod
edge138,choice,seq
edge139,path,seq
edge140,div,seq
edge141,extremal,matrix
edge142,intdiv,matrix
edge143,mxalgebra,matrix
edge144,all_field,algnum
edge145,classfun,algnum
edge146,abelian,sylow
edge147,algebraics_fundamentals,sylow
edge148,sylow,pgroup
edge149,mxrepresentation,pgroup
edge150,perm,morphism
edge151,presentation,morphism
edge152,sylow,nilpotent
edge153,action,quotient
edge154,finfun,tuple
edge155,ssrfun,ssrnotations
edge156,character,mxrepresentation
edge157,mxabelem,mxrepresentation
edge158,all_character,mxabelem
edge159,all,all_field
edge160,cyclic,poly
edge161,polydiv,poly
edge162,falgebra,poly
edge163,num_theory/orderedzmod,poly
edge164,character,classfun
edge165,all,all_solvable
edge166,algebraics_fundamentals,rat
edge167,all_algebra,rat
edge168,all_algebra,spectral
edge169,finfield,cyclotomic
edge170,algnum,cyclotomic
edge171,all_ssreflect,all_boot
edge172,all,all_boot
edge173,interval_inference,interval
edge174,all_algebra,fraction
edge175,ssrfun,ssreflect
edge176,perm,binomial
edge177,ssralg,binomial
edge178,all_boot,binomial
edge179,jordanholder,gseries
edge180,primitive_action,gseries
edge181,nilpotent,gseries
edge182,separable,fieldext
edge183,all,all_algebra
edge184,all_solvable,burnside_app
