module_id,name,cluster,released
extremal,extremal,solvable,no
hall,hall,solvable,no
abelian,abelian,solvable,no
alt,alt,solvable,no
nilpotent,nilpotent,solvable,no
commutator,commutator,solvable,no
gfunctor,gfunctor,solvable,no
primitive_action,primitive_action,solvable,no
pgroup,pgroup,solvable,no
maximal,maximal,solvable,no
jordanholder,jordanholder,solvable,no
finmodule,finmodule,solvable,no
center,center,solvable,no
sylow,sylow,solvable,no
all_solvable,all_solvable,solvable,no
extraspecial,extraspecial,solvable,no
gseries,gseries,solvable,no
frobenius,frobenius,solvable,no
cyclic,cyclic,solvable,no
burnside_app,burnside_app,solvable,no
eqtype,eqtype,boot,no
seq,seq,boot,no
bigop,bigop,boot,no
generic_quotient,generic_quotient,boot,no
tuple,tuple,boot,no
ssrnotations,ssrnotations,boot,no
choice,choice,boot,no
ssreflect,ssreflect,boot,no
fintype,fintype,boot,no
fingraph,fingraph,boot,no
prime,prime,boot,no
monoid,monoid,boot,no
nmodule,nmodule,boot,no
ssrAC,ssrAC,boot,no
finfun,finfun,boot,no
ssrbool,ssrbool,boot,no
ssrfun,ssrfun,boot,no
all_boot,all_boot,boot,no
finset,finset,boot,no
binomial,binomial,boot,no
ssrmatching,ssrmatching,boot,no
div,div,boot,no
ssrnat,ssrnat,boot,no
path,path,boot,no
all_field,all_field,field,no
qfpoly,qfpoly,field,no
algnum,algnum,field,no
algC,algC,field,no
separable,separable,field,no
cyclotomic,cyclotomic,field,no
falgebra,falgebra,field,no
closed_field,closed_field,field,no
algebraics_fundamentals,algebraics_fundamentals,field,no
fieldext,fieldext,field,no
galois,galois,field,no
finfield,finfield,field,no
all_ssreflect,all_ssreflect,ssreflect,no
all,all,all,no
vcharacter,vcharacter,character,no
integral_char,integral_char,character,no
mxrepresentation,mxrepresentation,character,no
inertia,inertia,character,no
character,character,character,no
classfun,classfun,character,no
mxabelem,mxabelem,character,no
all_character,all_character,character,no
intdiv,intdiv,algebra,no
matrix,matrix,algebra,no
mxred,mxred,algebra,no
polyXY,polyXY,algebra,no
num_theory/numfield,num_theory/numfield,algebra,no
num_theory/ssrnum,num_theory/ssrnum,algebra,no
ssralg,ssralg,algebra,no
mxpoly,mxpoly,algebra,no
interval_inference,interval_inference,algebra,no
num_theory/numdomain,num_theory/numdomain,algebra,no
num_theory/orderedzmod,num_theory/orderedzmod,algebra,no
ring_quotient,ring_quotient,algebra,no
zmodp,zmodp,algebra,no
vector,vector,algebra,no
ssrint,ssrint,algebra,no
all_algebra,all_algebra,algebra,no
mxalgebra,mxalgebra,algebra,no
spectral,spectral,algebra,no
sesquilinear,sesquilinear,algebra,no
finalg,finalg,algebra,no
rat,rat,algebra,no
polydiv,polydiv,algebra,no
interval,interval,algebra,no
qpoly,qpoly,algebra,no
archimedean,archimedean,algebra,no
countalg,countalg,algebra,no
poly,poly,algebra,no
fraction,fraction,algebra,no
preorder,preorder,order,no
all_order,all_order,order,no
order,order,order,no
presentation,presentation,fingroup,no
gproduct,gproduct,fingroup,no
perm,perm,fingroup,no
morphism,morphism,fingroup,no
all_fingroup,all_fingroup,fingroup,no
action,action,fingroup,no
quotient,quotient,fingroup,no
automorphism,automorphism,fingroup,no
fingroup,fingroup,fingroup,no
