module_idx,module_name,category,source,description
0,Mathlib,Mathlib,name_tokens,mathlib
1,Mathlib.Algebra.AddConstMap.Basic,Algebra,name_tokens,algebra algebra add const map basic
2,Mathlib.Algebra.AddConstMap.Equiv,Algebra,name_tokens,algebra algebra add const map equiv
3,Mathlib.Algebra.AddTorsor.Basic,Algebra,name_tokens,algebra algebra add torsor basic
4,Mathlib.Algebra.AddTorsor.Defs,Algebra,name_tokens,algebra algebra add torsor defs
5,Mathlib.Algebra.AffineMonoid.Basic,Algebra,name_tokens,algebra algebra affine monoid basic
6,Mathlib.Algebra.AffineMonoid.Embedding,Algebra,name_tokens,algebra algebra affine monoid embedding
7,Mathlib.Algebra.AffineMonoid.Irreducible,Algebra,name_tokens,algebra algebra affine monoid irreducible
8,Mathlib.Algebra.AffineMonoid.UniqueSums,Algebra,name_tokens,algebra algebra affine monoid unique sums
9,Mathlib.Algebra.Algebra.Basic,Algebra,name_tokens,algebra algebra algebra basic
10,Mathlib.Algebra.Algebra.Bilinear,Algebra,name_tokens,algebra algebra algebra bilinear
11,Mathlib.Algebra.Algebra.Defs,Algebra,name_tokens,algebra algebra algebra defs
12,Mathlib.Algebra.Algebra.Epi,Algebra,name_tokens,algebra algebra algebra epi
13,Mathlib.Algebra.Algebra.Equiv,Algebra,name_tokens,algebra algebra algebra equiv
14,Mathlib.Algebra.Algebra.Field,Algebra,name_tokens,algebra algebra algebra field
15,Mathlib.Algebra.Algebra.Hom,Algebra,name_tokens,algebra algebra algebra hom
16,Mathlib.Algebra.Algebra.Hom.Rat,Algebra,name_tokens,algebra algebra algebra hom rat
17,Mathlib.Algebra.Algebra.IsSimpleRing,Algebra,name_tokens,algebra algebra algebra is simple ring
18,Mathlib.Algebra.Algebra.NonUnitalHom,Algebra,name_tokens,algebra algebra algebra non unital hom
19,Mathlib.Algebra.Algebra.NonUnitalSubalgebra,Algebra,name_tokens,algebra algebra algebra non unital subalgebra
20,Mathlib.Algebra.Algebra.Operations,Algebra,name_tokens,algebra algebra algebra operations
21,Mathlib.Algebra.Algebra.Opposite,Algebra,name_tokens,algebra algebra algebra opposite
22,Mathlib.Algebra.Algebra.Pi,Algebra,name_tokens,algebra algebra algebra pi
23,Mathlib.Algebra.Algebra.Prod,Algebra,name_tokens,algebra algebra algebra prod
24,Mathlib.Algebra.Algebra.Rat,Algebra,name_tokens,algebra algebra algebra rat
25,Mathlib.Algebra.Algebra.RestrictScalars,Algebra,name_tokens,algebra algebra algebra restrict scalars
26,Mathlib.Algebra.Algebra.Shrink,Algebra,name_tokens,algebra algebra algebra shrink
27,Mathlib.Algebra.Algebra.Spectrum.Basic,Algebra,name_tokens,algebra algebra algebra spectrum basic
28,Mathlib.Algebra.Algebra.Spectrum.Pi,Algebra,name_tokens,algebra algebra algebra spectrum pi
29,Mathlib.Algebra.Algebra.Spectrum.Quasispectrum,Algebra,name_tokens,algebra algebra algebra spectrum quasispectrum
30,Mathlib.Algebra.Algebra.StrictPositivity,Algebra,name_tokens,algebra algebra algebra strict positivity
31,Mathlib.Algebra.Algebra.Subalgebra.Basic,Algebra,name_tokens,algebra algebra algebra subalgebra basic
32,Mathlib.Algebra.Algebra.Subalgebra.Centralizer,Algebra,name_tokens,algebra algebra algebra subalgebra centralizer
