module_idx,module_name,label_idx,category
0,Mathlib,20,Mathlib
1,Mathlib.Algebra.AddConstMap.Basic,0,Algebra
2,Mathlib.Algebra.AddConstMap.Equiv,0,Algebra
3,Mathlib.Algebra.AddTorsor.Basic,0,Algebra
4,Mathlib.Algebra.AddTorsor.Defs,0,Algebra
5,Mathlib.Algebra.AffineMonoid.Basic,0,Algebra
6,Mathlib.Algebra.AffineMonoid.Embedding,0,Algebra
7,Mathlib.Algebra.AffineMonoid.Irreducible,0,Algebra
8,Mathlib.Algebra.AffineMonoid.UniqueSums,0,Algebra
9,Mathlib.Algebra.Algebra.Basic,0,Algebra
10,Mathlib.Algebra.Algebra.Bilinear,0,Algebra
11,Mathlib.Algebra.Algebra.Defs,0,Algebra
12,Mathlib.Algebra.Algebra.Epi,0,Algebra
13,Mathlib.Algebra.Algebra.Equiv,0,Algebra
14,Mathlib.Algebra.Algebra.Field,0,Algebra
15,Mathlib.Algebra.Algebra.Hom,0,Algebra
16,Mathlib.Algebra.Algebra.Hom.Rat,0,Algebra
17,Mathlib.Algebra.Algebra.IsSimpleRing,0,Algebra
18,Mathlib.Algebra.Algebra.NonUnitalHom,0,Algebra
19,Mathlib.Algebra.Algebra.NonUnitalSubalgebra,0,Algebra
20,Mathlib.Algebra.Algebra.Operations,0,Algebra
21,Mathlib.Algebra.Algebra.Opposite,0,Algebra
22,Mathlib.Algebra.Algebra.Pi,0,Algebra
23,Mathlib.Algebra.Algebra.Prod,0,Algebra
24,Mathlib.Algebra.Algebra.Rat,0,Algebra
25,Mathlib.Algebra.Algebra.RestrictScalars,0,Algebra
26,Mathlib.Algebra.Algebra.Shrink,0,Algebra
27,Mathlib.Algebra.Algebra.Spectrum.Basic,0,Algebra
28,Mathlib.Algebra.Algebra.Spectrum.Pi,0,Algebra
29,Mathlib.Algebra.Algebra.Spectrum.Quasispectrum,0,Algebra
30,Mathlib.Algebra.Algebra.StrictPositivity,0,Algebra
31,Mathlib.Algebra.Algebra.Subalgebra.Basic,0,Algebra
32,Mathlib.Algebra.Algebra.Subalgebra.Centralizer,0,Algebra
33,Mathlib.Algebra.Algebra.Subalgebra.Directed,0,Algebra
34,Mathlib.Algebra.Algebra.Subalgebra.IsSimpleOrder,0,Algebra
35,Mathlib.Algebra.Algebra.Subalgebra.Lattice,0,Algebra
36,Mathlib.Algebra.Algebra.Subalgebra.Matrix,0,Algebra
37,Mathlib.Algebra.Algebra.Subalgebra.MulOpposite,0,Algebra
38,Mathlib.Algebra.Algebra.Subalgebra.Operations,0,Algebra
39,Mathlib.Algebra.Algebra.Subalgebra.Order,0,Algebra
40,Mathlib.Algebra.Algebra.Subalgebra.Pi,0,Algebra
41,Mathlib.Algebra.Algebra.Subalgebra.Pointwise,0,Algebra
42,Mathlib.Algebra.Algebra.Subalgebra.Prod,0,Algebra
43,Mathlib.Algebra.Algebra.Subalgebra.Rank,0,Algebra
44,Mathlib.Algebra.Algebra.Subalgebra.Tower,0,Algebra
45,Mathlib.Algebra.Algebra.Subalgebra.Unitization,0,Algebra
46,Mathlib.Algebra.Algebra.Tower,0,Algebra
47,Mathlib.Algebra.Algebra.TransferInstance,0,Algebra
48,Mathlib.Algebra.Algebra.Unitization,0,Algebra
49,Mathlib.Algebra.Algebra.ZMod,0,Algebra
50,Mathlib.Algebra.AlgebraicCard,0,Algebra
51,Mathlib.Algebra.ArithmeticGeometric,0,Algebra
52,Mathlib.Algebra.Azumaya.Basic,0,Algebra
53,Mathlib.Algebra.Azumaya.Defs,0,Algebra
54,Mathlib.Algebra.Azumaya.Matrix,0,Algebra
55,Mathlib.Algebra.BigOperators.Associated,0,Algebra
56,Mathlib.Algebra.BigOperators.Balance,0,Algebra
57,Mathlib.Algebra.BigOperators.Expect,0,Algebra
58,Mathlib.Algebra.BigOperators.Field,0,Algebra
59,Mathlib.Algebra.BigOperators.Fin,0,Algebra
60,Mathlib.Algebra.BigOperators.Finprod,0,Algebra
61,Mathlib.Algebra.BigOperators.Finsupp.Basic,0,Algebra
62,Mathlib.Algebra.BigOperators.Finsupp.Fin,0,Algebra
63,Mathlib.Algebra.BigOperators.Group.Finset.Basic,0,Algebra
64,Mathlib.Algebra.BigOperators.Group.Finset.Defs,0,Algebra
65,Mathlib.Algebra.BigOperators.Group.Finset.Gaps,0,Algebra
66,Mathlib.Algebra.BigOperators.Group.Finset.Indicator,0,Algebra
67,Mathlib.Algebra.BigOperators.Group.Finset.Interval,0,Algebra
68,Mathlib.Algebra.BigOperators.Group.Finset.Lemmas,0,Algebra
69,Mathlib.Algebra.BigOperators.Group.Finset.Pi,0,Algebra
70,Mathlib.Algebra.BigOperators.Group.Finset.Piecewise,0,Algebra
71,Mathlib.Algebra.BigOperators.Group.Finset.Powerset,0,Algebra
