module_id,source,max_sim,top_match,mean_sim
extremal,description,0.3351,Mathlib.GroupTheory.SpecificGroups.Quaternion,0.01542
hall,description,0.2745,Mathlib.GroupTheory.SchurZassenhaus,0.00928
abelian,description,0.2606,Mathlib.GroupTheory.Rank,0.01613
alt,description,0.29,Mathlib.GroupTheory.SpecificGroups.Alternating,0.00821
nilpotent,description,0.4974,Mathlib.GroupTheory.Nilpotent,0.00763
commutator,description,0.4667,Mathlib.GroupTheory.Solvable,0.01045
gfunctor,description,0.1974,Mathlib.CategoryTheory.Functor.Functorial,0.02544
primitive_action,description,0.2346,Mathlib.Dynamics.Transitive,0.00786
pgroup,description,0.4027,Mathlib.Algebra.Order.Group.PiLex,0.0148
maximal,description,0.4068,Mathlib.GroupTheory.Frattini,0.01452
jordanholder,description,0.266,Mathlib.GroupTheory.IsSubnormal,0.01332
finmodule,description,0.3123,Mathlib.GroupTheory.Focal,0.01754
center,description,0.2698,Mathlib.GroupTheory.Subgroup.Center,0.01229
sylow,description,0.3538,Mathlib.GroupTheory.SpecificGroups.ZGroup,0.00398
all_solvable,name_only,0.6472,Mathlib.FieldTheory.AbelRuffini,0.00027
extraspecial,description,0.3367,Mathlib.GroupTheory.SpecificGroups.Quaternion,0.01564
gseries,description,0.302,Mathlib.GroupTheory.IsSubnormal,0.01039
frobenius,description,0.2337,Mathlib.NumberTheory.FrobeniusNumber,0.01612
cyclic,description,0.3521,Mathlib.GroupTheory.SpecificGroups.Cyclic,0.01523
burnside_app,description,0.3371,Mathlib.Combinatorics.SimpleGraph.Coloring,0.00303
eqtype,description,0.1784,Mathlib.Algebra.Group.Equiv.Finite,0.00808
seq,description,0.2609,Mathlib.Data.Seq.Defs,0.01138
bigop,description,0.183,Mathlib.Algebra.BigOperators.Ring.Nat,0.01574
generic_quotient,description,0.202,Mathlib.Algebra.Quotient,0.00874
tuple,description,0.2963,Mathlib.Data.Fin.Tuple.Take,0.01428
ssrnotations,description,0.2175,Mathlib.Data.Int.AbsoluteValue,0.01346
choice,description,0.1884,Mathlib.Order.ZornAtoms,0.00448
ssreflect,description,0.1864,Mathlib.Tactic.WLOG,0.00449
fintype,description,0.2419,Mathlib.Algebra.Group.Equiv.Finite,0.00701
fingraph,description,0.2329,Mathlib.Order.Quotient,0.01716
prime,description,0.3263,Mathlib.Data.Nat.PrimeFin,0.01078
monoid,description,0.2064,Mathlib.GroupTheory.Finiteness,0.006
nmodule,description,0.1623,Mathlib.RingTheory.Coalgebra.GroupLike,0.0052
ssrAC,description,0.1208,Mathlib.Tactic.Linter.Lint,0.00301
finfun,description,0.187,Mathlib.Logic.Encodable.Pi,0.01188
ssrbool,description,0.3896,Mathlib.Data.Bool.AllAny,0.00223
ssrfun,description,0.2956,Mathlib.Tactic.Linter.FindDeprecations,0.00725
all_boot,name_only,0.0,Mathlib,0.0
finset,description,0.2531,Mathlib.Data.Set.MemPartition,0.01566
binomial,description,0.3721,Mathlib.Analysis.SpecialFunctions.Choose,0.00924
ssrmatching,description,0.0,Mathlib,0.0
div,description,0.3517,Mathlib.Data.Nat.ChineseRemainder,0.00703
ssrnat,description,0.2641,Mathlib.Analysis.SpecialFunctions.ArithmeticGeometricMean,0.01187
path,description,0.317,Mathlib.Combinatorics.SimpleGraph.Paths,0.01086
all_field,name_only,0.762,Mathlib.Tactic.Field,0.00469
qfpoly,description,0.2923,Mathlib.RingTheory.Polynomial.GaussLemma,0.01204
algnum,description,0.1996,Mathlib.RingTheory.Ideal.Int,0.01761
