mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,name_score,text_score,category_score,graph_score,combined_score,rank
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Dihedral,GroupTheory,0.1111,0.2338,1.0,0.0,0.2268,1
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Quaternion,GroupTheory,0.1111,0.1894,1.0,0.0,0.2091,2
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Cyclic,GroupTheory,0.1111,0.156,1.0,0.0556,0.2069,3
extremal,solvable,Mathlib.GroupTheory.GroupExtension.Basic,GroupTheory,0.125,0.0776,1.0,0.1667,0.2019,4
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.1111,0.1687,1.0,0.0,0.2008,5
extremal,solvable,Mathlib.GroupTheory.FreeGroup.CyclicallyReduced,GroupTheory,0.1,0.0828,1.0,0.1667,0.1964,6
extremal,solvable,Mathlib.GroupTheory.ClassEquation,GroupTheory,0.125,0.1452,1.0,0.0,0.1956,7
extremal,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.1667,0.1085,1.0,0.0,0.1934,8
extremal,solvable,Mathlib.GroupTheory.Coxeter.Inversion,GroupTheory,0.1429,0.0544,1.0,0.1429,0.1932,9
extremal,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.1667,0.1013,1.0,0.0,0.1905,10
hall,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.1667,0.2744,1.0,0.0,0.2598,1
hall,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.4,0.0743,1.0,0.0,0.2497,2
hall,solvable,Mathlib.GroupTheory.GroupAction.Support,GroupTheory,0.125,0.245,1.0,0.0,0.2355,3
hall,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.1667,0.211,1.0,0.0,0.2344,4
hall,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.125,0.2281,1.0,0.0,0.2288,5
hall,solvable,Mathlib.GroupTheory.GroupAction.Blocks,GroupTheory,0.125,0.2281,1.0,0.0,0.2288,6
hall,solvable,Mathlib.GroupTheory.GroupAction.Period,GroupTheory,0.125,0.2281,1.0,0.0,0.2288,7
hall,solvable,Mathlib.GroupTheory.GroupAction.Ring,GroupTheory,0.125,0.2236,1.0,0.0,0.227,8
hall,solvable,Mathlib.GroupTheory.GroupAction.Embedding,GroupTheory,0.125,0.2135,1.0,0.0,0.2229,9
hall,solvable,Mathlib.GroupTheory.GroupAction.SubMulAction.OfFixingSubgroup,GroupTheory,0.0714,0.1817,1.0,0.1429,0.2227,10
abelian,solvable,Mathlib.GroupTheory.FreeAbelianGroup,GroupTheory,0.3333,0.2217,1.0,0.0,0.2887,1
abelian,solvable,Mathlib.GroupTheory.FiniteAbelian.Duality,GroupTheory,0.2857,0.1715,1.0,0.0,0.2543,2
abelian,solvable,Mathlib.GroupTheory.FiniteAbelian.Basic,GroupTheory,0.2857,0.1637,1.0,0.0,0.2512,3
abelian,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.2,0.1984,1.0,0.0,0.2394,4
abelian,solvable,Mathlib.GroupTheory.Rank,GroupTheory,0.2,0.1851,1.0,0.0,0.2341,5
abelian,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.2,0.0587,1.0,0.1429,0.212,6
abelian,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.2,0.0532,1.0,0.1111,0.2035,7
abelian,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.2,0.042,1.0,0.125,0.2018,8
abelian,solvable,Mathlib.AlgebraicGeometry.Group.Abelian,AlgebraicGeometry,0.4,0.1829,0.0,0.0,0.1932,9
abelian,solvable,Mathlib.GroupTheory.Perm.MaximalSubgroups,GroupTheory,0.125,0.1284,1.0,0.0,0.1889,10
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating,GroupTheory,0.2222,0.1881,1.0,0.0,0.2419,1
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.Centralizer,GroupTheory,0.2,0.1724,1.0,0.0,0.2289,2
alt,solvable,Mathlib.GroupTheory.Perm.Cycle.Type,GroupTheory,0.1111,0.2326,1.0,0.0,0.2264,3
alt,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.1111,0.1188,1.0,0.2,0.2208,4
alt,solvable,Mathlib.GroupTheory.GroupAction.Transitive,GroupTheory,0.1111,0.1058,1.0,0.2,0.2156,5
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.MaximalSubgroups,GroupTheory,0.1667,0.1575,1.0,0.0,0.213,6
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.KleinFour,GroupTheory,0.1667,0.1522,1.0,0.0,0.2109,7
alt,solvable,Mathlib.GroupTheory.Perm.List,GroupTheory,0.125,0.164,1.0,0.0,0.2031,8
alt,solvable,Mathlib.GroupTheory.GroupAction.Blocks,GroupTheory,0.1111,0.1188,1.0,0.1111,0.2031,9
alt,solvable,Mathlib.GroupTheory.Perm.Finite,GroupTheory,0.125,0.1612,1.0,0.0,0.202,10
nilpotent,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.4,0.266,1.0,0.1429,0.355,1
nilpotent,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.4,0.1982,1.0,0.0,0.2993,2
nilpotent,solvable,Mathlib.Algebra.Lie.Nilpotent,Algebra,0.2,0.3322,0.0,0.0,0.1929,3
nilpotent,solvable,Mathlib.Topology.Algebra.TopologicallyNilpotent,Topology,0.1429,0.3736,0.0,0.0,0.1923,4
nilpotent,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.1667,0.0,1.0,0.2,0.19,5
nilpotent,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.KleinFour,GroupTheory,0.0833,0.0495,1.0,0.2,0.1848,6
nilpotent,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.1667,0.0,1.0,0.1667,0.1833,7
nilpotent,solvable,Mathlib.GroupTheory.ClassEquation,GroupTheory,0.125,0.1116,1.0,0.0,0.1821,8
nilpotent,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.MaximalSubgroups,GroupTheory,0.0833,0.1144,1.0,0.0,0.1708,9
nilpotent,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.1667,0.0511,1.0,0.0,0.1704,10
commutator,solvable,Mathlib.GroupTheory.Commutator.Basic,GroupTheory,0.4,0.1178,1.0,0.0,0.2671,1
commutator,solvable,Mathlib.GroupTheory.Commutator.Finite,GroupTheory,0.4,0.1151,1.0,0.0,0.266,2
commutator,solvable,Mathlib.Algebra.Group.Commutator,Algebra,0.6667,0.158,0.0,0.0,0.2632,3
commutator,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.2,0.1506,1.0,0.0,0.2202,4
commutator,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.2,0.1125,1.0,0.0,0.205,5
commutator,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.2,0.082,1.0,0.0,0.1928,6
commutator,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.1667,0.0979,1.0,0.0,0.1891,7
commutator,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.2,0.072,1.0,0.0,0.1888,8
commutator,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.1667,0.0916,1.0,0.0,0.1867,9
commutator,solvable,Mathlib.GroupTheory.Perm.Subgroup,GroupTheory,0.1667,0.0898,1.0,0.0,0.1859,10
gfunctor,solvable,Mathlib.GroupTheory.GroupExtension.Defs,GroupTheory,0.1111,0.0658,1.0,0.2,0.1997,1
gfunctor,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.1429,0.0672,1.0,0.1429,0.1983,2
gfunctor,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.1,0.0999,1.0,0.1111,0.1922,3
gfunctor,solvable,Mathlib.GroupTheory.Subsemigroup.Center,GroupTheory,0.125,0.0619,1.0,0.1429,0.1908,4
gfunctor,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.1429,0.0658,1.0,0.1,0.1892,5
gfunctor,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.1429,0.0645,1.0,0.0909,0.1868,6
gfunctor,solvable,Mathlib.GroupTheory.Commutator.Basic,GroupTheory,0.125,0.0583,1.0,0.1111,0.183,7
gfunctor,solvable,Mathlib.GroupTheory.Subgroup.Center,GroupTheory,0.125,0.1129,1.0,0.0,0.1827,8
gfunctor,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.125,0.1121,1.0,0.0,0.1823,9
gfunctor,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.125,0.105,1.0,0.0,0.1795,10
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Transitive,GroupTheory,0.3333,0.2919,1.0,0.0,0.3168,1
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Primitive,GroupTheory,0.3333,0.2197,1.0,0.0,0.2879,2
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.IterateAct,GroupTheory,0.1667,0.1538,1.0,0.0,0.2115,3
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.DomAct.ActionHom,GroupTheory,0.1429,0.1538,1.0,0.0,0.2044,4
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.ConjAct,GroupTheory,0.1667,0.1337,1.0,0.0,0.2035,5
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.MultipleTransitivity,GroupTheory,0.1667,0.0582,1.0,0.1429,0.2018,6
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.DomAct.Basic,GroupTheory,0.1538,0.1223,1.0,0.0,0.1951,7
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Blocks,GroupTheory,0.2,0.0786,1.0,0.0,0.1915,8
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Period,GroupTheory,0.2,0.0786,1.0,0.0,0.1915,9
primitive_action,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.2,0.0786,1.0,0.0,0.1915,10
pgroup,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.3333,0.2058,1.0,0.1429,0.3109,1
pgroup,solvable,Mathlib.Algebra.Group.Pi.Lemmas,Algebra,0.1429,0.5428,0.0,0.0,0.26,2
pgroup,solvable,Mathlib.Algebra.Group.Pi.Units,Algebra,0.1429,0.5325,0.0,0.0,0.2559,3
pgroup,solvable,Mathlib.GroupTheory.NoncommPiCoprod,GroupTheory,0.1,0.2909,1.0,0.0,0.2464,4
pgroup,solvable,Mathlib.Algebra.Group.Pi.Basic,Algebra,0.1429,0.4834,0.0,0.0,0.2362,5
pgroup,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.1429,0.1473,1.0,0.125,0.2268,6
pgroup,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.125,0.2214,1.0,0.0,0.2261,7
pgroup,solvable,Mathlib.Algebra.Order.Group.PiLex,Algebra,0.1111,0.4685,0.0,0.0,0.2208,8
pgroup,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.125,0.2073,1.0,0.0,0.2204,9
pgroup,solvable,Mathlib.GroupTheory.Perm.Subgroup,GroupTheory,0.125,0.2032,1.0,0.0,0.2188,10
maximal,solvable,Mathlib.GroupTheory.Perm.MaximalSubgroups,GroupTheory,0.125,0.2819,1.0,0.0,0.2503,1
