mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Dihedral,GroupTheory,0.2996,0.0,0.2996,2,MEDIUM,1
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Quaternion,GroupTheory,0.2797,0.0,0.2797,-1,,2
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.2703,0.0,0.2703,-1,,3
extremal,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.2655,0.0,0.2655,-1,,4
extremal,solvable,Mathlib.GroupTheory.ClassEquation,GroupTheory,0.2653,0.0,0.2653,-1,,5
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Cyclic,GroupTheory,0.2647,0.0,0.2647,-1,,6
extremal,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.2623,0.0,0.2623,-1,,7
extremal,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.2595,0.0,0.2595,-1,,8
extremal,solvable,Mathlib.GroupTheory.Index,GroupTheory,0.2535,0.0,0.2535,-1,,9
extremal,solvable,Mathlib.GroupTheory.PresentedGroup,GroupTheory,0.2526,0.0,0.2526,-1,,10
hall,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.3434,0.0,0.3434,1,MEDIUM,1
hall,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.3401,0.0,0.3401,-1,,2
hall,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3116,0.0,0.3116,-1,,3
hall,solvable,Mathlib.GroupTheory.GroupAction.Support,GroupTheory,0.3102,0.0,0.3102,-1,,4
hall,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.3027,0.0,0.3027,-1,,5
hall,solvable,Mathlib.GroupTheory.GroupAction.Blocks,GroupTheory,0.3027,0.0,0.3027,-1,,6
hall,solvable,Mathlib.GroupTheory.GroupAction.Period,GroupTheory,0.3027,0.0,0.3027,-1,,7
hall,solvable,Mathlib.GroupTheory.GroupAction.Ring,GroupTheory,0.3006,0.0,0.3006,-1,,8
hall,solvable,Mathlib.GroupTheory.GroupAction.Embedding,GroupTheory,0.2961,0.0,0.2961,-1,,9
hall,solvable,Mathlib.GroupTheory.SchurZassenhaus,GroupTheory,0.2953,0.0,0.2953,-1,,10
abelian,solvable,Mathlib.GroupTheory.FreeAbelianGroup,GroupTheory,0.3831,0.0,0.3831,0,HIGH-UNCERTAIN,1
abelian,solvable,Mathlib.GroupTheory.FiniteAbelian.Duality,GroupTheory,0.3415,0.0,0.3415,-1,,2
abelian,solvable,Mathlib.GroupTheory.FiniteAbelian.Basic,GroupTheory,0.338,0.0,0.338,-1,,3
abelian,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.3193,0.0,0.3193,-1,,4
abelian,solvable,Mathlib.GroupTheory.Rank,GroupTheory,0.3133,0.0,0.3133,-1,,5
abelian,solvable,Mathlib.GroupTheory.Perm.MaximalSubgroups,GroupTheory,0.2578,0.0,0.2578,-1,,6
abelian,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.2564,0.0,0.2564,-1,,7
abelian,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.2539,0.0,0.2539,-1,,8
abelian,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.2532,0.0,0.2532,-1,,9
abelian,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.2489,0.0,0.2489,-1,,10
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating,GroupTheory,0.3235,0.0,0.3235,1,MEDIUM,1
alt,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.255,0.0637,0.3187,-1,,2
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.Centralizer,GroupTheory,0.3076,0.0,0.3076,-1,,3
alt,solvable,Mathlib.GroupTheory.GroupAction.Primitive,GroupTheory,0.243,0.0607,0.3037,-1,,4
alt,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.2424,0.0606,0.303,-1,,5
alt,solvable,Mathlib.GroupTheory.Perm.Cycle.Type,GroupTheory,0.2991,0.0,0.2991,-1,,6
alt,solvable,Mathlib.GroupTheory.GroupAction.Defs,GroupTheory,0.2391,0.0598,0.2989,-1,,7
