mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank,original_rank,reranked_score,hier_bonus
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Quaternion,GroupTheory,0.3449,0.0,0.3449,-1,,1,2,0.4129,0.0345
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Dihedral,GroupTheory,0.3183,0.0,0.3183,-1,,2,3,0.3741,0.0329
extremal,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3181,0.0,0.3181,-1,,3,4,0.3605,0.0318
extremal,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3174,0.0,0.3174,-1,,4,5,0.3594,0.0317
extremal,solvable,Mathlib.GroupTheory.Perm.Fin,GroupTheory,0.2821,0.0705,0.3526,1,MEDIUM,5,1,0.354,0.0
extremal,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.3163,0.0,0.3163,-1,,6,6,0.3262,0.0
extremal,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3145,0.0,0.3145,-1,,7,7,0.3236,0.0
extremal,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3135,0.0,0.3135,-1,,8,8,0.3222,0.0
extremal,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3118,0.0,0.3118,-1,,9,9,0.3199,0.0
extremal,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3105,0.0,0.3105,-1,,10,10,0.318,0.0
hall,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.4312,0.0,0.4312,0,HIGH,1,1,0.4788,0.0431
hall,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.3452,0.0,0.3452,-1,,2,2,0.4011,0.0345
hall,solvable,Mathlib.GroupTheory.SchurZassenhaus,GroupTheory,0.3374,0.0,0.3374,-1,,3,3,0.3986,0.0337
hall,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3359,0.0,0.3359,-1,,4,4,0.3872,0.0336
