mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank,original_rank,reranked_score,concept_bonus,synonym_bonus,text_v3_contrib,decl_contrib
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Quaternion,GroupTheory,0.3449,0.0,0.3449,-1,,1,2,0.4435,0.0,0.0,0.0335,0.0651
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Dihedral,GroupTheory,0.3183,0.0,0.3183,-1,,2,3,0.3772,0.0,0.0,0.0229,0.036
extremal,solvable,Mathlib.GroupTheory.Perm.Fin,GroupTheory,0.2821,0.0705,0.3526,1,MEDIUM,3,1,0.354,0.0,0.0,0.0014,0.0
extremal,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.3163,0.0,0.3163,-1,,4,6,0.3526,0.0,0.0,0.0099,0.0265
extremal,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3105,0.0,0.3105,-1,,5,10,0.3452,0.0,0.0,0.0075,0.0271
extremal,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3145,0.0,0.3145,-1,,6,7,0.336,0.0,0.0,0.0091,0.0124
extremal,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3181,0.0,0.3181,-1,,7,4,0.3287,0.0,0.0,0.0106,0.0
extremal,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3174,0.0,0.3174,-1,,8,5,0.3277,0.0,0.0,0.0103,0.0
extremal,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3135,0.0,0.3135,-1,,9,8,0.3222,0.0,0.0,0.0087,0.0
extremal,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3118,0.0,0.3118,-1,,10,9,0.3199,0.0,0.0,0.0081,0.0
hall,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.4312,0.0,0.4312,0,HIGH,1,1,0.4497,0.0,0.0,0.0045,0.014
hall,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.3452,0.0,0.3452,-1,,2,2,0.3846,0.0,0.0,0.0214,0.018
hall,solvable,Mathlib.GroupTheory.SchurZassenhaus,GroupTheory,0.3374,0.0,0.3374,-1,,3,3,0.3755,0.0,0.0,0.0274,0.0107
hall,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3359,0.0,0.3359,-1,,4,4,0.3721,0.0,0.0,0.0177,0.0185
hall,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.3195,0.0,0.3195,-1,,5,6,0.352,0.0,0.0,0.0233,0.0092
hall,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.3207,0.0,0.3207,-1,,6,5,0.3451,0.0,0.0,0.0116,0.0128
hall,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.3115,0.0,0.3115,-1,,7,9,0.3286,0.0,0.0,0.0171,0.0
hall,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3163,0.0,0.3163,-1,,8,7,0.3262,0.0,0.0,0.0099,0.0
hall,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.314,0.0,0.314,-1,,9,8,0.3229,0.0,0.0,0.0089,0.0
hall,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3108,0.0,0.3108,-1,,10,10,0.3185,0.0,0.0,0.0077,0.0
abelian,solvable,Mathlib.GroupTheory.FreeAbelianGroup,GroupTheory,0.4141,0.0,0.4141,0,HIGH,1,1,0.7086,0.25,0.0133,0.0123,0.0189
abelian,solvable,Mathlib.GroupTheory.FiniteAbelian.Duality,GroupTheory,0.396,0.0,0.396,-1,,2,3,0.7008,0.25,0.0114,0.0155,0.0278
abelian,solvable,Mathlib.GroupTheory.FiniteAbelian.Basic,GroupTheory,0.3991,0.0,0.3991,-1,,3,2,0.6773,0.25,0.0114,0.0168,0.0
abelian,solvable,Mathlib.GroupTheory.Rank,GroupTheory,0.3752,0.0,0.3752,-1,,4,4,0.4226,0.0,0.0,0.0261,0.0214
abelian,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.3547,0.0,0.3547,-1,,5,7,0.4023,0.0,0.0,0.0179,0.0297
abelian,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3508,0.0,0.3508,-1,,6,8,0.3929,0.0,0.0,0.0163,0.0258
abelian,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3621,0.0,0.3621,-1,,7,5,0.3829,0.0,0.0,0.0208,0.0
abelian,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3572,0.0,0.3572,-1,,8,6,0.3761,0.0,0.0,0.0189,0.0
abelian,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3454,0.0,0.3454,-1,,9,9,0.3596,0.0,0.0,0.0142,0.0
abelian,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3377,0.0,0.3377,-1,,10,10,0.3571,0.0,0.0,0.0111,0.0083
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating,GroupTheory,0.3947,0.0,0.3947,0,HIGH-UNCERTAIN,1,1,0.524,0.0625,0.0089,0.029,0.0289
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.Centralizer,GroupTheory,0.3743,0.0,0.3743,-1,,2,2,0.4844,0.0625,0.008,0.0257,0.0139
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.KleinFour,GroupTheory,0.3339,0.0,0.3339,-1,,3,4,0.4351,0.0625,0.0067,0.0169,0.0152
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.MaximalSubgroups,GroupTheory,0.3427,0.0,0.3427,-1,,4,3,0.4323,0.0625,0.0067,0.0204,0.0
alt,solvable,Mathlib.GroupTheory.GroupAction.Jordan,GroupTheory,0.3045,0.0,0.3045,-1,,5,6,0.3329,0.0,0.0,0.0174,0.011
alt,solvable,Mathlib.GroupTheory.Coxeter.Basic,GroupTheory,0.3023,0.0,0.3023,-1,,6,7,0.3267,0.0,0.0,0.0134,0.011
alt,solvable,Mathlib.GroupTheory.Perm.Closure,GroupTheory,0.308,0.0,0.308,-1,,7,5,0.3237,0.0,0.0,0.0157,0.0
alt,solvable,Mathlib.GroupTheory.Perm.MaximalSubgroups,GroupTheory,0.297,0.0,0.297,-1,,8,8,0.3138,0.0,0.0,0.0168,0.0
alt,solvable,Mathlib.GroupTheory.Perm.Finite,GroupTheory,0.297,0.0,0.297,-1,,9,9,0.3083,0.0,0.0,0.0113,0.0
alt,solvable,Mathlib.GroupTheory.PresentedGroup,GroupTheory,0.2961,0.0,0.2961,-1,,10,10,0.307,0.0,0.0,0.0109,0.0
nilpotent,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.5444,0.0,0.5444,0,HIGH,1,1,0.8896,0.25,0.02,0.0497,0.0255
nilpotent,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.4835,0.0,0.4835,-1,,2,2,0.5591,0.0,0.0,0.0254,0.0502
nilpotent,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3248,0.0,0.3248,-1,,3,3,0.3381,0.0,0.0,0.0133,0.0
nilpotent,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3245,0.0,0.3245,-1,,4,4,0.3376,0.0,0.0,0.0131,0.0
nilpotent,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3187,0.0,0.3187,-1,,5,6,0.3369,0.0,0.0,0.0108,0.0074
nilpotent,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.3187,0.0,0.3187,-1,,6,7,0.3347,0.0,0.0,0.016,0.0
nilpotent,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3224,0.0,0.3224,-1,,7,5,0.3347,0.0,0.0,0.0123,0.0
nilpotent,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3142,0.0,0.3142,-1,,8,8,0.3232,0.0,0.0,0.009,0.0
nilpotent,solvable,Mathlib.GroupTheory.Goursat,GroupTheory,0.3134,0.0,0.3134,-1,,9,9,0.3221,0.0,0.0,0.0087,0.0
nilpotent,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3108,0.0,0.3108,-1,,10,10,0.3185,0.0,0.0,0.0077,0.0
commutator,solvable,Mathlib.GroupTheory.Commutator.Basic,GroupTheory,0.4996,0.0,0.4996,0,HIGH,1,1,0.6879,0.125,0.0114,0.0318,0.02
commutator,solvable,Mathlib.GroupTheory.Commutator.Finite,GroupTheory,0.4969,0.0,0.4969,-1,,2,2,0.6641,0.125,0.0114,0.0308,0.0
commutator,solvable,Mathlib.Algebra.Group.Commutator,Algebra,0.4641,0.0,0.4641,-1,,3,3,0.6441,0.125,0.016,0.039,0.0
commutator,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.4267,0.0,0.4267,-1,,4,4,0.5216,0.0,0.0,0.0467,0.0482
commutator,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3739,0.0,0.3739,-1,,5,5,0.3995,0.0,0.0,0.0256,0.0
commutator,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3418,0.0,0.3418,-1,,6,6,0.3649,0.0,0.0,0.0127,0.0103
commutator,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3338,0.0,0.3338,-1,,7,7,0.3433,0.0,0.0,0.0095,0.0
commutator,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3338,0.0,0.3338,-1,,8,8,0.3433,0.0,0.0,0.0095,0.0
commutator,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3335,0.0,0.3335,-1,,9,9,0.3429,0.0,0.0,0.0094,0.0
commutator,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.327,0.0,0.327,-1,,10,10,0.3338,0.0,0.0,0.0068,0.0
gfunctor,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3077,0.0769,0.3846,1,MEDIUM,1,1,0.3962,0.0,0.0,0.0116,0.0
gfunctor,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.299,0.0748,0.3738,-1,,2,3,0.3914,0.0,0.0,0.0176,0.0
gfunctor,solvable,Mathlib.GroupTheory.ClassEquation,GroupTheory,0.2957,0.0739,0.3696,-1,,3,4,0.3834,0.0,0.0,0.0138,0.0
gfunctor,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.2999,0.075,0.3748,-1,,4,2,0.3833,0.0,0.0,0.0085,0.0
gfunctor,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.2933,0.0733,0.3666,-1,,5,5,0.3725,0.0,0.0,0.0059,0.0
