mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank
extremal,solvable,Mathlib.GroupTheory.Perm.Fin,GroupTheory,0.2895,0.0724,0.3619,1,MEDIUM,1
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Quaternion,GroupTheory,0.3429,0.0,0.3429,-1,,2
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Dihedral,GroupTheory,0.3226,0.0,0.3226,-1,,3
extremal,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.3202,0.0,0.3202,-1,,4
extremal,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.32,0.0,0.32,-1,,5
extremal,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3179,0.0,0.3179,-1,,6
extremal,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3156,0.0,0.3156,-1,,7
extremal,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3128,0.0,0.3128,-1,,8
extremal,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.312,0.0,0.312,-1,,9
extremal,solvable,Mathlib.GroupTheory.PresentedGroup,GroupTheory,0.3115,0.0,0.3115,-1,,10
hall,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.4334,0.0,0.4334,0,HIGH,1
hall,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3624,0.0,0.3624,-1,,2
hall,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.3478,0.0,0.3478,-1,,3
hall,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.3382,0.0,0.3382,-1,,4
hall,solvable,Mathlib.GroupTheory.SchurZassenhaus,GroupTheory,0.3351,0.0,0.3351,-1,,5
hall,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3197,0.0,0.3197,-1,,6
hall,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.3179,0.0,0.3179,-1,,7
hall,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.3147,0.0,0.3147,-1,,8
hall,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3131,0.0,0.3131,-1,,9
hall,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3116,0.0,0.3116,-1,,10
abelian,solvable,Mathlib.GroupTheory.FreeAbelianGroup,GroupTheory,0.4182,0.0,0.4182,0,HIGH,1
abelian,solvable,Mathlib.GroupTheory.FiniteAbelian.Basic,GroupTheory,0.4031,0.0,0.4031,-1,,2
abelian,solvable,Mathlib.GroupTheory.FiniteAbelian.Duality,GroupTheory,0.3974,0.0,0.3974,-1,,3
abelian,solvable,Mathlib.GroupTheory.Rank,GroupTheory,0.3678,0.0,0.3678,-1,,4
abelian,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3648,0.0,0.3648,-1,,5
abelian,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.3561,0.0,0.3561,-1,,6
abelian,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.353,0.0,0.353,-1,,7
abelian,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3496,0.0,0.3496,-1,,8
abelian,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3461,0.0,0.3461,-1,,9
abelian,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3402,0.0,0.3402,-1,,10
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating,GroupTheory,0.4022,0.0,0.4022,0,HIGH,1
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.Centralizer,GroupTheory,0.3805,0.0,0.3805,-1,,2
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.MaximalSubgroups,GroupTheory,0.3539,0.0,0.3539,-1,,3
alt,solvable,Mathlib.GroupTheory.Perm.Closure,GroupTheory,0.3255,0.0,0.3255,-1,,4
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.KleinFour,GroupTheory,0.3253,0.0,0.3253,-1,,5
alt,solvable,Mathlib.GroupTheory.Perm.MaximalSubgroups,GroupTheory,0.3143,0.0,0.3143,-1,,6
alt,solvable,Mathlib.GroupTheory.Perm.Finite,GroupTheory,0.314,0.0,0.314,-1,,7
alt,solvable,Mathlib.GroupTheory.PresentedGroup,GroupTheory,0.3124,0.0,0.3124,-1,,8
alt,solvable,Mathlib.GroupTheory.GroupAction.Support,GroupTheory,0.3075,0.0,0.3075,-1,,9
alt,solvable,Mathlib.GroupTheory.GroupAction.Jordan,GroupTheory,0.3067,0.0,0.3067,-1,,10
nilpotent,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.5501,0.0,0.5501,0,HIGH,1
nilpotent,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.487,0.0,0.487,-1,,2
nilpotent,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.3383,0.0,0.3383,-1,,3
nilpotent,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3327,0.0,0.3327,-1,,4
nilpotent,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3281,0.0,0.3281,-1,,5
nilpotent,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3238,0.0,0.3238,-1,,6
nilpotent,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.322,0.0,0.322,-1,,7
nilpotent,solvable,Mathlib.GroupTheory.Goursat,GroupTheory,0.319,0.0,0.319,-1,,8
nilpotent,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3187,0.0,0.3187,-1,,9
nilpotent,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.3149,0.0,0.3149,-1,,10
commutator,solvable,Mathlib.GroupTheory.Commutator.Basic,GroupTheory,0.4705,0.0,0.4705,0,HIGH,1
commutator,solvable,Mathlib.GroupTheory.Commutator.Finite,GroupTheory,0.4564,0.0,0.4564,-1,,2
commutator,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.4296,0.0,0.4296,-1,,3
commutator,solvable,Mathlib.Algebra.Group.Commutator,Algebra,0.4193,0.0,0.4193,-1,,4
commutator,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3543,0.0,0.3543,-1,,5
commutator,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3486,0.0,0.3486,-1,,6
commutator,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3482,0.0,0.3482,-1,,7
