mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank
extremal,solvable,Mathlib.GroupTheory.Perm.Fin,GroupTheory,0.2821,0.0705,0.3526,1,MEDIUM,1
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Quaternion,GroupTheory,0.3449,0.0,0.3449,-1,,2
extremal,solvable,Mathlib.GroupTheory.SpecificGroups.Dihedral,GroupTheory,0.3183,0.0,0.3183,-1,,3
extremal,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3181,0.0,0.3181,-1,,4
extremal,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3174,0.0,0.3174,-1,,5
extremal,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.3163,0.0,0.3163,-1,,6
extremal,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3145,0.0,0.3145,-1,,7
extremal,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3135,0.0,0.3135,-1,,8
extremal,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3118,0.0,0.3118,-1,,9
extremal,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3105,0.0,0.3105,-1,,10
hall,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.4312,0.0,0.4312,0,HIGH,1
hall,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.3452,0.0,0.3452,-1,,2
hall,solvable,Mathlib.GroupTheory.SchurZassenhaus,GroupTheory,0.3374,0.0,0.3374,-1,,3
hall,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3359,0.0,0.3359,-1,,4
hall,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.3207,0.0,0.3207,-1,,5
hall,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.3195,0.0,0.3195,-1,,6
hall,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3163,0.0,0.3163,-1,,7
hall,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.314,0.0,0.314,-1,,8
hall,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.3115,0.0,0.3115,-1,,9
hall,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3108,0.0,0.3108,-1,,10
abelian,solvable,Mathlib.GroupTheory.FreeAbelianGroup,GroupTheory,0.4141,0.0,0.4141,0,HIGH,1
abelian,solvable,Mathlib.GroupTheory.FiniteAbelian.Basic,GroupTheory,0.3991,0.0,0.3991,-1,,2
abelian,solvable,Mathlib.GroupTheory.FiniteAbelian.Duality,GroupTheory,0.396,0.0,0.396,-1,,3
abelian,solvable,Mathlib.GroupTheory.Rank,GroupTheory,0.3752,0.0,0.3752,-1,,4
abelian,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3621,0.0,0.3621,-1,,5
abelian,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3572,0.0,0.3572,-1,,6
abelian,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.3547,0.0,0.3547,-1,,7
abelian,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3508,0.0,0.3508,-1,,8
abelian,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3454,0.0,0.3454,-1,,9
abelian,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3377,0.0,0.3377,-1,,10
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating,GroupTheory,0.3947,0.0,0.3947,0,HIGH-UNCERTAIN,1
alt,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.Centralizer,GroupTheory,0.3743,0.0,0.3743,-1,,2
