mc_module,ml_module,base_score,concept,synonym,text_v3,broad_pen,reranked
extremal,Mathlib.GroupTheory.Perm.Fin,0.3526,0.0,0.0,0.0142,0.0,0.354
extremal,Mathlib.GroupTheory.SpecificGroups.Quaternion,0.3449,0.0,0.0,0.3351,0.0,0.3784
extremal,Mathlib.GroupTheory.SpecificGroups.Dihedral,0.3183,0.0,0.0,0.2287,0.0,0.3412
extremal,Mathlib.GroupTheory.Archimedean,0.3181,0.0,0.0,0.1058,0.0,0.3287
extremal,Mathlib.GroupTheory.Commensurable,0.3174,0.0,0.0,0.103,0.0,0.3277
extremal,Mathlib.GroupTheory.PGroup,0.3163,0.0,0.0,0.0987,0.0,0.3262
extremal,Mathlib.GroupTheory.Sylow,0.3145,0.0,0.0,0.0914,0.0,0.3236
extremal,Mathlib.GroupTheory.Focal,0.3135,0.0,0.0,0.0872,0.0,0.3222
extremal,Mathlib.GroupTheory.Torsion,0.3118,0.0,0.0,0.0806,0.0,0.3199
extremal,Mathlib.GroupTheory.Schreier,0.3105,0.0,0.0,0.0753,0.0,0.318
hall,Mathlib.GroupTheory.Complement,0.4312,0.0,0.0,0.0449,0.0,0.4357
hall,Mathlib.GroupTheory.Solvable,0.3452,0.0,0.0,0.2139,0.0,0.3666
hall,Mathlib.GroupTheory.SchurZassenhaus,0.3374,0.0,0.0,0.2745,0.0,0.3648
hall,Mathlib.GroupTheory.Sylow,0.3359,0.0,0.0,0.177,0.0,0.3536
hall,Mathlib.GroupTheory.Transfer,0.3207,0.0,0.0,0.1163,0.0,0.3323
hall,Mathlib.GroupTheory.SpecificGroups.ZGroup,0.3195,0.0,0.0,0.2334,0.0,0.3428
hall,Mathlib.GroupTheory.Commensurable,0.3163,0.0,0.0,0.0986,0.0,0.3262
hall,Mathlib.GroupTheory.Archimedean,0.314,0.0,0.0,0.0895,0.0,0.3229
hall,Mathlib.GroupTheory.GroupAction.Iwasawa,0.3115,0.0,0.0,0.171,0.0,0.3286
hall,Mathlib.GroupTheory.Schreier,0.3108,0.0,0.0,0.0767,0.0,0.3185
abelian,Mathlib.GroupTheory.FreeAbelianGroup,0.4141,1.0,0.1667,0.1231,0.0,0.6897
abelian,Mathlib.GroupTheory.FiniteAbelian.Basic,0.3991,1.0,0.1429,0.1679,0.0,0.6773
abelian,Mathlib.GroupTheory.FiniteAbelian.Duality,0.396,1.0,0.1429,0.1554,0.0,0.673
abelian,Mathlib.GroupTheory.Rank,0.3752,0.0,0.0,0.2606,0.0,0.4013
abelian,Mathlib.GroupTheory.Commensurable,0.3621,0.0,0.0,0.2084,0.0,0.3829
abelian,Mathlib.GroupTheory.Archimedean,0.3572,0.0,0.0,0.1888,0.0,0.3761
abelian,Mathlib.GroupTheory.Exponent,0.3547,0.0,0.0,0.1787,0.0,0.3726
abelian,Mathlib.GroupTheory.Torsion,0.3508,0.0,0.0,0.1631,0.0,0.3671
abelian,Mathlib.GroupTheory.Frattini,0.3454,0.0,0.0,0.1416,0.0,0.3596
abelian,Mathlib.GroupTheory.Nilpotent,0.3377,0.0,0.0,0.1109,0.0,0.3488
alt,Mathlib.GroupTheory.SpecificGroups.Alternating,0.3947,0.25,0.1111,0.29,0.0,0.4951
alt,Mathlib.GroupTheory.SpecificGroups.Alternating.Centralizer,0.3743,0.25,0.1,0.257,0.0,0.4705
alt,Mathlib.GroupTheory.SpecificGroups.Alternating.MaximalSubgroups,0.3427,0.25,0.0833,0.2043,0.0,0.4323
alt,Mathlib.GroupTheory.SpecificGroups.Alternating.KleinFour,0.3339,0.25,0.0833,0.1689,0.0,0.42
alt,Mathlib.GroupTheory.Perm.Closure,0.308,0.0,0.0,0.1569,0.0,0.3237
alt,Mathlib.GroupTheory.GroupAction.Jordan,0.3045,0.0,0.0,0.1737,0.0,0.3219
alt,Mathlib.GroupTheory.Coxeter.Basic,0.3023,0.0,0.0,0.1343,0.0,0.3157
alt,Mathlib.GroupTheory.Perm.MaximalSubgroups,0.297,0.0,0.0,0.1681,0.0,0.3138
alt,Mathlib.GroupTheory.Perm.Finite,0.297,0.0,0.0,0.1129,0.0,0.3083
alt,Mathlib.GroupTheory.PresentedGroup,0.2961,0.0,0.0,0.1094,0.0,0.307
nilpotent,Mathlib.GroupTheory.Nilpotent,0.5444,1.0,0.25,0.4974,0.0,0.8641
