module,old_text,old_rank,new_text,new_rank,delta_rank,old_match,new_match
burnside_app,0.0,4685,0.04,307,4378,Basic,CardCommute
choice,0.0,5860,0.002,3420,2440,Zorn,Zorn
abelian,0.03,832,0.088,135,697,Finite,Defs
finset,0.093,242,0.192,10,232,Range,DenselyOrdered
algC,0.048,279,0.119,90,189,AlgebraicClosure,Basic
fingraph,0.057,178,0.148,9,169,EdgeLabeling,Hasse
finfield,0.038,71,0.161,1,70,GaloisField,GaloisField
fintype,0.121,56,0.164,3,53,Basic,OfMap
gseries,0.094,46,0.167,4,42,Simple,Simple
ssralg,0.099,42,0.11,1,41,BooleanRing,Shrink
commutator,0.118,37,0.202,5,32,Basic,Basic
mxpoly,0.107,37,0.218,5,32,Polynomial,Polynomial
bigop,0.11,31,0.215,1,30,Balance,Nat
fieldext,0.058,54,0.111,32,22,Basic,Defs
jordanholder,0.099,13,0.29,1,12,Jordan,JordanHolder
automorphism,0.056,61,0.096,52,9,Saturated,Saturated
alt,0.188,9,0.32,1,8,Alternating,Alternating
ssrint,0.136,9,0.26,1,8,Pi,Basic
center,0.094,8,0.318,1,7,Center,Center
vcharacter,0.091,7,0.189,1,6,Character,Character
action,0.31,6,0.245,1,5,SubMulAction,Basic
rat,0.339,7,0.313,2,5,Cardinal,Init
ssrnat,0.114,12,0.17,8,4,SuccPred,Set
nilpotent,0.266,5,0.52,1,4,Nilpotent,Nilpotent
seq,0.212,4,0.26,1,3,Seq,Defs
div,0.162,9,0.253,6,3,DivMod,DivMod
perm,0.215,4,0.324,2,2,Support,Concrete
prime,0.316,3,0.351,1,2,Int,PrimeFin
cyclic,0.393,2,0.366,1,1,Cyclic,Cyclic
matrix,0.433,2,0.433,1,1,RowCol,Transvection
sesquilinear,0.292,2,0.447,1,1,SesquilinearForm,Star
fraction,0.382,2,0.438,1,1,FractionRing,AsSubring
ssrbool,0.0,3528,0.0,3527,1,AllAny,AllAny
mxrepresentation,0.371,1,0.279,1,0,Basic,Semisimple
path,0.411,1,0.283,1,0,Path,Paths
tuple,0.263,1,0.463,1,0,Basic,Take
archimedean,0.238,1,0.156,1,0,Archimedean,Submonoid
poly,0.271,1,0.262,1,0,HilbertPoly,Subring
gproduct,0.196,1,0.261,1,0,SemidirectProduct,SemidirectProduct
quotient,0.353,2,0.367,2,0,Basic,Defs
fingroup,0.216,1,0.181,1,0,PGroup,ClassEquation
cyclotomic,0.342,1,0.626,1,0,CyclotomicCharacter,Roots
vector,0.161,1,0.19,1,0,FiniteDimensional,Basic
mxalgebra,0.412,1,0.316,1,0,RowCol,RowCol
character,0.188,1,0.184,1,0,Character,Character
binomial,0.278,1,0.336,1,0,Binomial,Cast
order,0.343,1,0.115,2,-1,Defs,Relation
zmodp,0.12,3,0.177,4,-1,Units,Basic
sylow,0.487,1,0.388,2,-1,Sylow,Sylow
separable,0.416,1,0.383,3,-2,Separable,Separable
hall,0.274,3,0.225,5,-2,Solvable,Solvable
ring_quotient,0.282,1,0.254,3,-2,Quotient,Defs
finfun,0.124,1,0.163,3,-2,Basic,Powerset
preorder,0.227,1,0.111,3,-2,Antichain,Relation
galois,0.31,3,0.213,10,-7,GaloisField,Abelian
intdiv,0.176,2,0.178,13,-11,ModEq,DivMod
presentation,0.153,11,0.123,30,-19,GeneratorEquiv,PresentedGroup
eqtype,0.238,1,0.076,33,-32,Subtype,PartialEquiv
ssrfun,0.0,4978,0.0,5037,-59,Basic,Basic
pgroup,0.206,74,0.094,175,-101,PGroup,PGroup
classfun,0.051,13,0.058,178,-165,ClassEquation,ClassEquation
morphism,0.027,429,0.046,869,-440,Saturated,Saturated
