w_name,w_text,w_cat,text_variant,cv_p1,cv_p5,cv_p1_std,full_p1,full_p5
0.4,0.4,0.2,old,0.6375,0.7951,0.1195,0.629,0.7903
0.45,0.35,0.2,old,0.6375,0.7951,0.1195,0.629,0.7903
0.45,0.4,0.15,old,0.6375,0.7951,0.1195,0.629,0.7903
0.5,0.35,0.15,old,0.6375,0.7951,0.1195,0.629,0.7903
0.5,0.3,0.2,old,0.625,0.7951,0.1296,0.6129,0.7903
0.55,0.25,0.2,old,0.6084,0.7785,0.1172,0.5968,0.7742
0.6,0.2,0.2,old,0.6084,0.766,0.1172,0.5968,0.7581
0.55,0.3,0.15,old,0.5944,0.7951,0.1662,0.5806,0.7903
0.5,0.4,0.1,old,0.5717,0.7951,0.1311,0.5645,0.7903
0.55,0.35,0.1,old,0.5717,0.7951,0.1311,0.5645,0.7903
0.55,0.25,0.2,new,0.6574,0.7719,0.1463,0.6452,0.7581
0.5,0.35,0.15,new,0.6518,0.7844,0.1235,0.6452,0.7742
0.55,0.3,0.15,new,0.6518,0.7719,0.1235,0.6452,0.7581
0.5,0.4,0.1,new,0.6393,0.7826,0.1346,0.629,0.7742
0.5,0.3,0.2,new,0.6352,0.7844,0.1145,0.629,0.7742
0.45,0.35,0.2,new,0.6352,0.7844,0.1145,0.629,0.7742
0.6,0.2,0.2,new,0.6282,0.7427,0.1575,0.6129,0.7258
0.45,0.4,0.15,new,0.6209,0.7844,0.108,0.6129,0.7742
0.6,0.25,0.15,new,0.6142,0.7844,0.1909,0.5968,0.7742
0.6,0.3,0.1,new,0.6124,0.7701,0.176,0.5968,0.7581
